"date","BUD","RI.PA","HEINY"
"2012-05-25",54.685432,67.268173,21.513496
"2012-05-26",54.685432,67.268173,21.513496
"2012-05-27",54.685432,67.268173,21.513496
"2012-05-28",54.685432,67.510521,21.513496
"2012-05-29",55.222031,69.440628,21.522249
"2012-05-30",54.07674,68.376022,20.909575
"2012-05-31",54.220901,68.376022,20.857065
"2012-06-01",52.514992,66.411324,20.59449
"2012-06-02",52.514992,66.411324,20.59449
"2012-06-03",52.514992,66.411324,20.59449
"2012-06-04",52.819328,65.502518,20.393183
"2012-06-05",52.875393,66.290138,20.436945
"2012-06-06",54.557289,68.107727,20.953342
"2012-06-07",54.14082,69.267509,21.014605
"2012-06-08",54.565292,68.419312,20.830801
"2012-06-09",54.565292,68.419312,20.830801
"2012-06-10",54.565292,68.419312,20.830801
"2012-06-11",53.820461,67.943275,20.620747
"2012-06-12",55.270088,67.674965,20.576986
"2012-06-13",56.014927,68.159653,20.857065
"2012-06-14",57.128178,68.748215,21.014605
"2012-06-15",56.839851,68.670311,21.145891
"2012-06-16",56.839851,68.670311,21.145891
"2012-06-17",56.839851,68.670311,21.145891
"2012-06-18",56.679668,69.094406,21.102135
"2012-06-19",57.096138,69.267509,21.119633
"2012-06-20",56.215149,69.890694,21.259676
"2012-06-21",55.622486,69.431969,21.128389
"2012-06-22",56.295235,69.613731,21.504742
"2012-06-23",56.295235,69.613731,21.504742
"2012-06-24",56.295235,69.613731,21.504742
"2012-06-25",56.74374,68.280815,21.172148
"2012-06-26",58.201378,68.817436,21.268425
"2012-06-27",58.745979,70.453278,21.723553
"2012-06-28",59.098396,70.297501,21.495987
"2012-06-29",63.79166,72.92865,22.878874
"2012-06-30",63.79166,72.92865,22.878874
"2012-07-01",63.79166,72.92865,22.878874
"2012-07-02",63.511345,73.766739,23.071432
"2012-07-03",63.679535,73.661957,23.018913
"2012-07-04",63.679535,73.696884,23.018913
"2012-07-05",62.662369,73.295311,22.791348
"2012-07-06",62.309998,73.338966,22.721331
"2012-07-07",62.309998,73.338966,22.721331
"2012-07-08",62.309998,73.338966,22.721331
"2012-07-09",62.28595,72.474724,22.817608
"2012-07-10",62.734467,73.111984,22.476263
"2012-07-11",61.805424,71.819984,22.362482
"2012-07-12",61.453045,72.020775,22.231195
"2012-07-13",62.0457,72.381302,22.572538
"2012-07-14",62.0457,72.381302,22.572538
"2012-07-15",62.0457,72.381302,22.572538
"2012-07-16",61.877506,72.675514,22.651312
"2012-07-17",61.893524,73.094536,22.616299
"2012-07-18",62.878635,73.373894,22.905134
"2012-07-19",63.62347,75.757095,23.115192
"2012-07-20",62.366058,75.512688,23.053926
"2012-07-21",62.366058,75.512688,23.053926
"2012-07-22",62.366058,75.512688,23.053926
"2012-07-23",61.645248,73.635773,22.476263
"2012-07-24",61.509079,74.133369,22.485012
"2012-07-25",61.380947,74.561134,22.747593
"2012-07-26",64.079994,76.499146,23.605328
"2012-07-27",64.936958,76.577721,23.990437
"2012-07-28",64.936958,76.577721,23.990437
"2012-07-29",64.936958,76.577721,23.990437
"2012-07-30",64.928932,77.241188,23.955429
"2012-07-31",63.447269,76.394394,23.780375
"2012-08-01",63.97588,77.223717,24.077961
"2012-08-02",63.263065,76.036469,23.762871
"2012-08-03",65.473534,77.031654,24.944447
"2012-08-04",65.473534,77.031654,24.944447
"2012-08-05",65.473534,77.031654,24.944447
"2012-08-06",65.64975,77.363411,24.594353
"2012-08-07",66.274437,77.127708,23.93792
"2012-08-08",65.849953,77.049126,23.552813
"2012-08-09",65.593666,77.511818,23.631588
"2012-08-10",64.944954,76.516609,23.649094
"2012-08-11",64.944954,76.516609,23.649094
"2012-08-12",64.944954,76.516609,23.649094
"2012-08-13",64.792786,76.804688,23.771626
"2012-08-14",64.520477,77.223717,23.754114
"2012-08-15",64.97699,76.603912,23.771626
"2012-08-16",64.936958,76.228523,23.71911
"2012-08-17",64.85685,75.329361,23.281488
"2012-08-18",64.85685,75.329361,23.281488
"2012-08-19",64.85685,75.329361,23.281488
"2012-08-20",65.241287,75.81823,23.754114
"2012-08-21",65.401474,76.176163,24.804409
"2012-08-22",65.329384,75.661087,24.14798
"2012-08-23",64.824821,75.460304,24.550592
"2012-08-24",65.865982,76.446777,24.594353
"2012-08-25",65.865982,76.446777,24.594353
"2012-08-26",65.865982,76.446777,24.594353
"2012-08-27",66.170334,76.638832,24.751898
"2012-08-28",67.283592,76.822159,24.909441
